timestamp,cluster_size,operation,index,success,latency_ms,error
2026-06-26T15:37:18.2317448Z,7,put,1,true,109.441,
2026-06-26T15:37:18.3398896Z,7,put,2,true,108.144,
2026-06-26T15:37:18.4475963Z,7,put,3,true,107.706,
2026-06-26T15:37:18.5552987Z,7,put,4,true,107.702,
2026-06-26T15:37:18.6632045Z,7,put,5,true,107.905,
2026-06-26T15:37:18.7757132Z,7,put,6,true,112.508,
2026-06-26T15:37:18.8833754Z,7,put,7,true,107.662,
2026-06-26T15:37:18.9904441Z,7,put,8,true,107.068,
2026-06-26T15:37:19.0999272Z,7,put,9,true,109.483,
2026-06-26T15:37:19.2122205Z,7,put,10,true,112.293,
2026-06-26T15:37:19.3204027Z,7,put,11,true,108.182,
2026-06-26T15:37:19.4298653Z,7,put,12,true,109.462,
2026-06-26T15:37:19.5371587Z,7,put,13,true,107.293,
2026-06-26T15:37:19.6491216Z,7,put,14,true,111.962,
2026-06-26T15:37:19.7571843Z,7,put,15,true,108.062,
2026-06-26T15:37:19.8647156Z,7,put,16,true,107.531,
2026-06-26T15:37:19.9741482Z,7,put,17,true,109.432,
2026-06-26T15:37:20.0843371Z,7,put,18,true,110.188,
2026-06-26T15:37:20.191708Z,7,put,19,true,107.370,
2026-06-26T15:37:20.3008544Z,7,put,20,true,109.146,
2026-06-26T15:37:20.4080727Z,7,put,21,true,107.218,
2026-06-26T15:37:20.5147874Z,7,put,22,true,106.714,
2026-06-26T15:37:20.6247664Z,7,put,23,true,109.979,
2026-06-26T15:37:20.7330777Z,7,put,24,true,108.311,
2026-06-26T15:37:20.8406677Z,7,put,25,true,107.590,
2026-06-26T15:37:20.949449Z,7,put,26,true,108.781,
2026-06-26T15:37:21.0578096Z,7,put,27,true,108.360,
2026-06-26T15:37:21.1663815Z,7,put,28,true,108.571,
2026-06-26T15:37:21.2742963Z,7,put,29,true,107.914,
2026-06-26T15:37:21.3826057Z,7,put,30,true,108.309,
2026-06-26T15:37:21.4928366Z,7,put,31,true,110.230,
2026-06-26T15:37:21.6032904Z,7,put,32,true,110.453,
2026-06-26T15:37:21.7113764Z,7,put,33,true,108.086,
2026-06-26T15:37:21.8193499Z,7,put,34,true,107.973,
2026-06-26T15:37:21.9302246Z,7,put,35,true,110.874,
2026-06-26T15:37:22.0403313Z,7,put,36,true,110.106,
2026-06-26T15:37:22.1504463Z,7,put,37,true,110.115,
2026-06-26T15:37:22.2611719Z,7,put,38,true,110.725,
2026-06-26T15:37:22.3699818Z,7,put,39,true,108.809,
2026-06-26T15:37:22.4809648Z,7,put,40,true,110.983,
2026-06-26T15:37:22.5896489Z,7,put,41,true,108.684,
2026-06-26T15:37:22.6982996Z,7,put,42,true,108.650,
2026-06-26T15:37:22.8092584Z,7,put,43,true,110.958,
2026-06-26T15:37:22.9173938Z,7,put,44,true,108.135,
2026-06-26T15:37:23.0266187Z,7,put,45,true,109.224,
2026-06-26T15:37:23.1382713Z,7,put,46,true,111.652,
2026-06-26T15:37:23.246775Z,7,put,47,true,108.503,
2026-06-26T15:37:23.3616305Z,7,put,48,true,114.855,
2026-06-26T15:37:23.4758722Z,7,put,49,true,114.241,
2026-06-26T15:37:23.5892224Z,7,put,50,true,113.350,
2026-06-26T15:37:23.6972316Z,7,put,51,true,108.009,
2026-06-26T15:37:23.8059089Z,7,put,52,true,108.677,
2026-06-26T15:37:23.9134484Z,7,put,53,true,107.539,
2026-06-26T15:37:24.0222604Z,7,put,54,true,108.812,
2026-06-26T15:37:24.1316336Z,7,put,55,true,109.373,
2026-06-26T15:37:24.2429255Z,7,put,56,true,110.819,
2026-06-26T15:37:24.3522203Z,7,put,57,true,109.294,
2026-06-26T15:37:24.4627806Z,7,put,58,true,110.560,
2026-06-26T15:37:24.5722187Z,7,put,59,true,109.438,
2026-06-26T15:37:24.6813635Z,7,put,60,true,109.144,
2026-06-26T15:37:24.7891292Z,7,put,61,true,107.765,
2026-06-26T15:37:24.8977747Z,7,put,62,true,108.645,
2026-06-26T15:37:25.0070896Z,7,put,63,true,109.012,
