cluster_size,operation,count,success_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms
3,put,300,1.000000,109.808,109.027,112.972,124.457,106.402,170.372
3,get,300,1.000000,107.048,106.980,108.396,109.455,105.193,111.189
