cluster_size,operation,count,success_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms
5,put,300,1.000000,123.159,120.589,128.707,152.662,117.101,553.493
5,get,300,1.000000,121.612,116.804,118.322,274.555,114.464,559.113
