cluster_size,operation,count,success_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms
7,put,300,1.000000,110.883,110.448,115.491,119.133,106.630,123.936
7,get,300,1.000000,106.289,106.041,107.926,112.142,104.254,118.061
